GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G0202820","2010","4","9","Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Yakutat City and Borough",,662,662,0,0,0,662,0,662,281,2,237,27,12,1,102
"G0202900","2010","4","9","Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Yukon-Koyukuk Census Area",,5588,5588,0,0,0,5588,0,5588,1243,10,3992,14,6,9,314
"G0400010","2010","4","8","Arizona","04","Apache County","001",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Apache County",,71518,71518,18551,0,18551,52967,0,71518,16634,175,52154,203,26,904,1422
"G0400030","2010","4","8","Arizona","04","Cochise County","003",,,,,,,,,,,,,,"43420","99999","999",,,,,,,,,,,,,,"Cochise County",,131346,131346,83666,52745,30921,47680,0,131346,103085,5465,1589,2525,418,12989,5275
"G0400050","2010","4","8","Arizona","04","Coconino County","005",,,,,,,,,,,,,,"22380","99999","999",,,,,,,,,,,,,,"Coconino County",,134421,134421,92124,71957,20167,42297,0,134421,82967,1629,36714,1846,164,6990,4111
"G0400070","2010","4","8","Arizona","04","Gila County","007",,,,,,,,,,,,,,"37740","99999","999",,,,,,,,,,,,,,"Gila County",,53597,53597,31589,0,31589,22008,0,53597,41162,233,7946,273,47,2865,1071
"G0400090","2010","4","8","Arizona","04","Graham County","009",,,,,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,,,"Graham County",,37220,37220,19936,0,19936,17284,0,37220,26827,683,5376,200,52,3034,1048
"G0400110","2010","4","8","Arizona","04","Greenlee County","011",,,,,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,,,"Greenlee County",,8437,8437,4508,0,4508,3929,0,8437,6514,89,195,46,5,1268,320
"G0400120","2010","4","8","Arizona","04","La Paz County","012",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"La Paz County",,20489,20489,8948,0,8948,11541,0,20489,14306,129,2628,107,7,2551,761
"G0400130","2010","4","8","Arizona","04","Maricopa County","013",,,,,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,,,"Maricopa County",,3817117,3817117,3726888,3686117,40771,90229,0,3817117,2786781,190519,78329,132225,7790,489705,131768
